what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1424965400577
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1424965400664
os,sysinfo,,,"win32",1424965400699
arch,sysinfo,,,"x86",1424965400699
ws,sysinfo,,,"win32",1424965400699
locale,sysinfo,,,"en_AU",1424965400699
processors,sysinfo,,,"2",1424965400699
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424965400699
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1424965400699
java.specification.name,sysinfo,,,"Java Platform API Specification",1424965400699
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424965400699
java.specification.version,sysinfo,,,"1.6",1424965400699
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1424965400699
java.version,sysinfo,,,"1.6.0_21",1424965400699
java.vm.info,sysinfo,,,"mixed mode",1424965400699
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424965400699
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424965400699
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424965400699
java.vm.specification.version,sysinfo,,,"1.0",1424965400699
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1424965400699
java.vm.version,sysinfo,,,"17.0-b17",1424965400699
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1424965400751
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1424965400791
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1424965401024
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1424965401514
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1424965401526
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1424965401655
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1424965402064
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1424965402121
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1424965402318
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424965402587
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1424965402602
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1424965402609
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1424965402641
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1424965402681
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424965468840
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1424965468876
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1424965468896
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1424965469089
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1424965469097
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1424965469113
